ID,Region,Date of arrival at Safe House,Age on arrival in years,District,Religion,Type of case,Who brought her to the Safe House,Suggestion from social welfare officer,Immediate needs on arrival,Health Status,School
751,Mara,12/8/2018,9,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
752,Mara,12/8/2018,14,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
753,Mara,11/3/2018,15,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
754,Mara,12/8/2018,10,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
755,Mara,12/8/2018,16,Butiam,christian,child marriage,police,short term protection,Counselling,Heathy,0
756,Mara,12/1/2018,14,Butiam,christian,child marriage,police,short term protection,Counselling,Heathy,0
757,Mara,12/8/2018,12,Tarime,christian,violence,police,short term protection,Counselling,Heathy,0
758,Mara,11/10/2018,14,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
759,Mara,12/8/2018,6,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
760,Mara,12/8/2018,12,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
761,Mara,11/3/2018,14,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
762,Mara,12/8/2018,15,Butiam,christian,rape,police,short term protection,Other,Heathy,0
763,Mara,12/8/2018,14,Butiam,christian,child marriage,police,short term protection,Counselling,Heathy,0
764,Mara,12/8/2018,15,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
765,Mara,12/8/2018,16,Butiam,christian,child marriage,police,short term protection,Counselling,Heathy,0
766,Mara,12/2/2017,9,Tarime,christian,violence,government leader,short term protection,Counselling,Heathy,0
767,Mara,12/1/2018,15,Serengeti,christian,violence,police,short term protection,Counselling,Heathy,0
769,Mara,12/8/2018,10,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
770,Mara,11/4/2017,12,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
771,Mara,12/1/2018,14,Tarime,christian,violence,police,short term protection,Other,Heathy,0
772,Mara,12/8/2018,10,Tarime,christian,violence,police,short term protection,Counselling,Heathy,0
773,Mara,12/1/2018,12,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
774,Mara,11/3/2018,9,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
775,Mara,12/8/2018,10,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
776,Mara,12/1/2018,7,Butiam,christian,rape,volunteer,short term protection,Counselling,Heathy,0
777,Mara,12/8/2018,13,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
778,Mara,12/8/2018,10,Butiam,christian,fgm,police,short term protection,Counselling,Heathy,0
779,Mara,12/1/2018,10,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
780,Mara,1/5/2019,8,Tarime,christian,rape,school teacher,short term protection,Counselling,Heathy,1
781,Mara,12/4/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
782,Mara,12/4/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
783,Mara,12/8/2018,12,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
784,Mara,11/3/2018,15,Butiam,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
785,Mara,12/4/2018,10,Butiam,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
786,Mara,11/3/2018,9,Tarime,christian,violence,volunteer,short term protection,Counselling,UTI,1
787,Mara,12/8/2018,13,Butiam,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
788,Mara,12/3/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
789,Mara,11/3/2018,12,Butiam,christian,child marriage,police,short term protection,Counselling,Heathy,0
790,Mara,12/8/2018,15,Butiam,christian,child marriage,police,short term protection,Counselling,Heathy,0
791,Mara,12/8/2018,14,Butiam,christian,child marriage,police,short term protection,Counselling,Heathy,0
792,Mara,12/4/2018,12,Butiam,christian,fgm,police,short term protection,Other,Heathy,0
793,Mara,12/8/2018,12,Butiam,christian,child marriage,volunteer,short term protection,Counselling,Heathy,0
794,Mara,12/4/2018,12,Butiam,christian,child marriage,volunteer,short term protection,Counselling,Heathy,0
795,Mara,12/7/2018,14,Butiam,christian,child marriage,volunteer,short term protection,Counselling,Heathy,0
796,Mara,12/2/2017,10,Tarime,christian,fgm,police,short term protection,Counselling,Heathy,0
797,Mara,12/4/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
798,Mara,12/1/2018,10,Tarime,christian,fgm,police,short term protection,Counselling,Heathy,1
799,Mara,2/7/2019,12,Tarime,muslim,fgm,came herself,short term protection,Other,Heathy,0
800,Mara,11/3/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
801,Mara,11/3/2018,10,Tarime,christian,fgm,police,short term protection,Counselling,Heathy,0
802,Mara,6/5/2019,15,Butiam,christian,violence,religious leader,short term protection,Other,Heathy,0
804,Mara,7/9/2019,13,Butiam,christian,violence,came herself,short term protection,Other,Heathy,0
805,Mara,12/1/2018,9,Tarime,christian,fgm,police,short term protection,Counselling,Heathy,1
806,Mara,9/4/2019,13,Butiam,christian,violence,community member,short term protection,Counselling,Heathy,0
807,Mwanza,10/9/2019,15,Nyamagana,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
808,Mara,9/25/2019,13,Butiam,christian,fgm,came herself,reconciliation with parents,Other,Heathy,0
809,Mara,9/11/2019,13,Butiam,christian,fgm,school teacher,reconciliation with parents,Other,Heathy,1
810,Mara,9/18/2019,16,Butiam,christian,violence,came herself,reconciliation with parents,Counselling,Heathy,1
811,Mwanza,10/8/2019,15,Kwimba,christian,violence,social welfare officer,short term protection,Other,Heathy,1
812,Mara,9/10/2019,16,Butiam,christian,violence,volunteer,short term protection,Other,Heathy,0
813,Mara,11/6/2019,15,Bunda,christian,violence,came herself,reconciliation with parents,Counselling,Heathy,1
814,Mara,9/4/2019,16,Musoma,christian,violence,came herself,short term protection,Other,Heathy,0
815,Mara,8/7/2019,15,Bunda,christian,violence,community member,short term protection,Other,Heathy,0
816,Mara,10/9/2019,16,Tarime,christian,violence,came herself,reconciliation with parents,Counselling,Heathy,1
817,Mara,10/16/2019,15,Tarime,christian,violence,came herself,reconciliation with parents,Other,Heathy,0
818,Mara,10/16/2019,14,Tarime,christian,violence,came herself,reconciliation with parents,Other,Heathy,1
819,Mara,9/10/2019,16,Butiam,christian,fgm,community member,short term protection,Other,Heathy,0
820,Mara,11/5/2019,13,Butiam,christian,fgm,came herself,reconciliation with parents,Other,Heathy,0
821,Mara,10/1/2019,13,Butiam,christian,violence,community member,short term protection,Shoes,Heathy,1
822,Mara,10/16/2019,13,Butiam,christian,violence,came herself,reconciliation with parents,Other,Heathy,0
823,Mara,10/17/2019,15,Butiam,christian,fgm,came herself,reconciliation with parents,Other,Heathy,0
824,Mara,10/8/2019,13,Tarime,christian,fgm,religious leader,reconciliation with parents,Other,Heathy,0
825,Mara,10/2/2019,13,Tarime,christian,fgm,community member,reconciliation with parents,Other,Heathy,1
826,Mara,9/17/2019,14,Butiam,christian,violence,community member,reconciliation with parents,Other,Heathy,0
827,Mara,11/7/2019,15,Tarime,christian,fgm,volunteer,reconciliation with parents,Other,Heathy,1
828,Mara,12/21/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
829,Mara,12/31/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
830,Mara,12/26/2018,13,Serengeti,christian,child marriage,police,short term protection,Shoes,UTI,1
831,Mara,12/24/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
832,Mara,12/17/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
833,Mara,12/12/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
834,Mara,12/27/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
835,Mara,12/18/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
836,Mara,12/30/2018,12,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
837,Mara,12/23/2018,12,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
838,Mara,12/31/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
839,Mara,12/29/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
840,Mara,12/21/2018,11,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
841,Mara,12/22/2018,14,Serengeti,christian,child marriage,police,short term protection,Counselling,UTI,1
842,Mara,12/28/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
